Base Station Count,SEC Server Count,IoT Device Count,Function Type Count,Function Task Count,Latency Weight (OMEGA),CPU MEM RATIO,Latency REF (s),Energy REF (J),Algorithm Full Name,Offloading Algorithm,Scheduling Algorithm,Resource Allocation Algorithm,System Cost,Real Latency (s),Real Energy (J),Offloading Ratio,Execution Time (s)
12,12,25,14,250,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,625.5670626926607,4626.221909942884,1629.4487169837232,1.0,4.741583347320557
12,12,25,14,250,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,1143.6346856597797,3732.892715604966,7703.454140992827,0.552,1.0062901973724365
12,12,25,14,250,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,451.7808338077218,2844.3264476232316,1673.4818904539852,0.548,1.740537166595459
12,12,25,14,250,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,473.52993085217446,2683.014101536172,2052.285206985573,0.468,41.83152914047241
12,12,25,14,250,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,445.89778680851776,2916.228947960642,1542.748920124534,0.564,2.1893646717071533
12,12,25,14,250,0.5,1.5,5,5,IoTOnly,IoTOnly,,,1907.199646591184,3492.273711711844,15579.722754199996,0.0,6.890296936035156e-05
14,14,30,15,300,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,652.9992882651566,4988.47229874199,1541.5205839095772,1.0,6.311832427978516
14,14,30,15,300,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,1394.1983892495964,3990.0700728631796,9951.91381963278,0.5066666666666667,1.2643697261810303
14,14,30,15,300,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,453.8111196436966,2988.2217759584555,1549.889420478516,0.5366666666666666,2.498615026473999
14,14,30,15,300,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,475.2758614910629,2847.661277651066,1905.0973372595638,0.4666666666666667,71.24938988685608
14,14,30,15,300,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,442.4246404589035,3045.342984892687,1378.9034196963455,0.5566666666666666,3.5208473205566406
14,14,30,15,300,0.5,1.5,5,5,IoTOnly,IoTOnly,,,2111.0848400509717,3726.6509935097256,17384.197406999985,0.0,8.654594421386719e-05
